"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.8636,423.22,-858.87,2.5904e+06,679.37,50443,0,0,0,0,0,0,-3.2455e-15,2.9823e-12,-5.4954e-12,-4.3045e-09,-1.0786e-10,-1.5468e-09,0,0,6.8652e+05,1234.8,-0.90847,0.74445,7062.7,9.706e+05,0.87725,690.17,4.7027e-05,0,0,0,0,0.025043,0.042271,0.26712,-0.032763,0
1.8443,421.9,-865.06,2.5722e+06,667.96,51945,0,0,0,0,0,0,-5.5134e-15,1.3232e-13,-1.4755e-12,-1.1725e-08,-9.0509e-11,-1.0681e-09,0,0,6.7971e+05,1235.3,-0.92343,0.75596,7066.2,9.7083e+05,0.88699,690.31,4.7038e-05,0,0,0,0,0.023717,0.046157,0.26712,-0.037601,0
1.8407,420.82,-864.91,2.5686e+06,673.95,52503,0,0,0,0,0,0,-5.9624e-15,-1.1515e-13,-1.6234e-12,-1.0722e-08,-9.1043e-11,-1.0191e-09,0,0,6.7861e+05,1235.8,-0.92586,0.75686,7067.2,9.7007e+05,0.88857,690.43,4.7048e-05,0,0,0,0,0.023623,0.046895,0.26712,-0.038538,0
1.8325,423.55,-881.52,2.5611e+06,604.93,50442,0,0,0,0,0,0,-5.1054e-15,4.2425e-14,-3.4909e-12,-3.6808e-09,-8.5734e-11,-8.1792e-10,0,0,6.7362e+05,1232.2,-0.93681,0.77414,7065.5,9.7804e+05,0.89571,689.43,4.6968e-05,0,0,0,0,0.022011,0.050772,0.26712,-0.043117,0
1.8278,422.41,-885.36,2.5565e+06,593.72,50325,0,0,0,0,0,0,-5.0172e-15,-3.9913e-13,-3.8603e-12,-5.014e-09,-8.6651e-11,-7.3419e-10,0,0,6.7159e+05,1231.6,-0.94127,0.77866,7065.8,9.7915e+05,0.89861,689.27,4.6956e-05,0,0,0,0,0.021566,0.052387,0.26712,-0.045052,0
1.9736,445.75,-939.07,2.7269e+06,88.735,18702,0,0,0,0,0,0,-2.3787e-15,1.3752e-13,-1.3098e-13,-6.3918e-09,-7.6445e-12,-6.4709e-10,0,0,7.1871e+05,1220.6,-0.83775,0.76759,7033.8,1.0359e+06,0.83133,686.2,4.6712e-05,0,0,0,0,0.009356,0.026923,0.26712,-0.0078435,0
1.9698,450.43,-932.55,2.7205e+06,114.14,20391,0,0,0,0,0,0,-1.8081e-15,1.5548e-12,-2.7431e-12,-9.142e-10,-1.3655e-11,-9.38e-10,0,0,7.1726e+05,1220.5,-0.84094,0.76623,7034.3,1.0326e+06,0.8334,686.16,4.6709e-05,0,0,0,0,0.011009,0.028113,0.26712,-0.010789,0
1.973,442.65,-942.78,2.727e+06,83.203,18180,0,0,0,0,0,0,-1.4802e-15,5.51e-13,-6.0434e-13,-4.8844e-09,-5.9149e-12,-5.1676e-10,0,0,7.184e+05,1220.5,-0.83843,0.76938,7033.8,1.0372e+06,0.83178,686.16,4.6709e-05,0,0,0,0,0.0090026,0.026453,0.26712,-0.0062923,0
1.9661,432.25,-955.15,2.7206e+06,70.404,16865,0,0,0,0,0,0,-2.3156e-15,5.0504e-13,-1.9073e-12,-2.4086e-09,-1.7671e-12,-1.1551e-10,0,0,7.1518e+05,1219.3,-0.8455,0.77755,7033.8,1.0403e+06,0.83637,685.81,4.6681e-05,0,0,0,0,0.0082061,0.025194,0.26712,-0.0013415,0
1.9687,435.3,-952.27,2.7233e+06,70.628,16969,0,0,0,0,0,0,-1.5186e-15,8.9309e-13,-1.738e-12,-1.7868e-09,-2.1307e-12,-1.8913e-10,0,0,7.1632e+05,1219.6,-0.84301,0.77541,7033.7,1.0399e+06,0.83475,685.91,4.6689e-05,0,0,0,0,0.0081925,0.025496,0.26712,-0.0027696,0
