"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
2.6964,435.72,-15.271,3.6685e+06,38.134,21025,0,0,0,0,0,0,3.3889e-16,9.5454e-13,9.9667e-13,1.8118e-09,3.3199e-14,-9.125e-12,0,0,1.0645e+06,1323.3,-0.077952,0.22631,7022.9,1.1003e+06,0.22561,714.46,4.8951e-05,0,0,0,0,0.0048902,0.069361,0.081845,0.044906,0
2.6959,436.73,-13.247,3.6678e+06,38.154,21038,0,0,0,0,0,0,2.7329e-16,1.2131e-12,1.5491e-12,8.1688e-10,1.8583e-14,-1.0634e-11,0,0,1.0643e+06,1323.2,-0.078516,0.22685,7022.9,1.1002e+06,0.22644,714.44,4.895e-05,0,0,0,0,0.0048891,0.071427,0.081845,0.042363,0
2.695,438.96,-8.6383,3.6666e+06,38.164,21046,0,0,0,0,0,0,-3.4984e-15,-1.9505e-13,8.8628e-13,-7.2826e-09,6.308e-14,-1.0139e-11,0,0,1.0638e+06,1323.1,-0.079526,0.22804,7022.9,1.1001e+06,0.22792,714.41,4.8947e-05,0,0,0,0,0.0048871,0.07146,0.081845,0.16486,0
2.6947,439.85,-6.9077,3.6662e+06,38.161,21044,0,0,0,0,0,0,-4.7754e-15,-8.686e-13,-1.0035e-13,-9.649e-09,7.1647e-14,-2.1025e-11,0,0,1.0636e+06,1323,-0.079903,0.22851,7022.9,1.1001e+06,0.22847,714.4,4.8946e-05,0,0,0,0,0.0048862,0.069889,0.081845,0.16261,0
2.6973,433.53,-17.116,3.6697e+06,38.098,21006,0,0,0,0,0,0,3.4614e-15,9.0879e-13,-1.4917e-13,7.9864e-09,7.3622e-15,-2.1624e-11,0,0,1.065e+06,1323.4,-0.076947,0.22513,7022.9,1.1004e+06,0.22412,714.5,4.8954e-05,0,0,0,0,0.0048919,0.066722,0.081845,0.048215,0
2.6978,432.42,-18.305,3.6704e+06,38.14,21026,0,0,0,0,0,0,4.3062e-15,7.0542e-13,-7.4848e-13,9.3275e-09,-3.2586e-15,-1.899e-11,0,0,1.0652e+06,1323.5,-0.076434,0.22453,7022.9,1.1005e+06,0.22336,714.52,4.8955e-05,0,0,0,0,0.0048933,0.065148,0.081845,0.05031,0
2.6948,439.97,-4.5188,3.6663e+06,38.17,21050,0,0,0,0,0,0,-2.3903e-15,-7.036e-14,7.012e-13,-4.5379e-09,7.6767e-14,-1.8939e-11,0,0,1.0637e+06,1323,-0.079823,0.22855,7022.9,1.1002e+06,0.22836,714.4,4.8946e-05,0,0,0,0,0.0048864,0.06786,0.081845,0.16005,0
2.6947,440.3,-2.0904,3.6663e+06,38.266,21098,0,0,0,0,0,0,7.6251e-16,1.0128e-12,6.5346e-13,1.8576e-09,4.8652e-14,-9.9205e-12,0,0,1.0637e+06,1323,-0.079862,0.22871,7022.9,1.1002e+06,0.22841,714.4,4.8946e-05,0,0,0,0,0.0048871,0.065489,0.081845,0.15687,0
2.6981,431.4,-18.785,3.6708e+06,38.112,21014,0,0,0,0,0,0,3.9582e-15,5.3002e-13,-5.1105e-13,8.1849e-09,-4.7583e-17,-2.083e-11,0,0,1.0654e+06,1323.5,-0.07607,0.22398,7022.9,1.1005e+06,0.22281,714.53,4.8956e-05,0,0,0,0,0.0048934,0.064262,0.081845,0.0515,0
2.6992,427.86,-20.078,3.672e+06,38.053,20986,0,0,0,0,0,0,-2.3931e-15,-5.1895e-13,-2.3998e-13,-5.021e-09,1.891e-14,-3.3643e-12,0,0,1.0659e+06,1323.7,-0.074888,0.22208,7022.9,1.1004e+06,0.22104,714.57,4.8959e-05,0,0,0,0,0.0048942,0.061793,0.081845,0.054776,0
