"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.8952,421.1,-895.57,2.6149e+06,221.94,24040,0,0,0,0,0,0,-1.9447e-15,-5.6847e-13,-4.9743e-13,-3.0506e-09,-1.4776e-11,-1.2511e-10,0,-297.67,6.9032e+05,1220.9,-0.90012,0.76091,7046.2,9.8932e+05,0.87182,686.28,4.6719e-05,0,0,0,0,0.017497,0.0099788,0.293,-0.048206,0
1.9011,413.68,-897.42,2.6229e+06,222.23,24049,0,0,0,0,0,0,-1.7781e-15,-4.6865e-13,-1.7539e-12,-1.4483e-10,-1.9856e-11,-1.8286e-10,0,-297.67,6.9314e+05,1222.1,-0.89393,0.75705,7046.2,9.8987e+05,0.8678,686.6,4.6744e-05,0,0,0,0,0.017568,0.0097703,0.293,-0.05068,0
1.9012,413.54,-897.45,2.6231e+06,222.24,24049,0,0,0,0,0,0,-1.7753e-15,-4.6616e-13,-1.7517e-12,-1.4842e-10,-1.9841e-11,-1.8264e-10,0,-297.67,6.9319e+05,1222.1,-0.89382,0.75697,7046.2,9.8988e+05,0.86773,686.61,4.6745e-05,0,0,0,0,0.017569,0.0098732,0.293,0.01595,0
1.9064,406.36,-899.26,2.6301e+06,222.72,24059,0,0,0,0,0,0,-1.5753e-15,-3.2797e-13,-7.9572e-13,-2.1703e-09,-1.4152e-11,-1.1812e-10,0,-297.67,6.9566e+05,1223.1,-0.88839,0.75359,7046.2,9.9041e+05,0.8642,686.89,4.6767e-05,0,0,0,0,0.017649,0.022901,0.293,0.013746,0
1.8894,427.76,-896,2.6081e+06,221.59,24040,0,0,0,0,0,0,-3.3943e-16,8.7318e-13,-1.9729e-12,5.0271e-10,-1.4413e-11,-1.4327e-10,0,-297.67,6.8762e+05,1219.8,-0.90606,0.76605,7046.2,9.9005e+05,0.87569,685.97,4.6694e-05,0,0,0,0,0.017416,0.010659,0.293,-0.046034,0
1.889,428.34,-896.01,2.6076e+06,221.6,24042,0,0,0,0,0,0,-2.9754e-16,9.4145e-13,-1.9743e-12,5.8152e-10,-1.4377e-11,-1.4363e-10,0,-297.67,6.874e+05,1219.7,-0.90654,0.76646,7046.2,9.9011e+05,0.87599,685.95,4.6692e-05,0,0,0,0,0.017411,0.010703,0.293,-0.045877,0
1.9086,402.64,-901.6,2.6337e+06,222.61,24044,0,0,0,0,0,0,-2.0964e-15,-2.0337e-13,-4.6774e-13,-3.2028e-09,-1.3046e-11,-1.0071e-10,0,-297.67,6.967e+05,1223.5,-0.88612,0.75306,7046.2,9.914e+05,0.86272,687.01,4.6776e-05,0,0,0,0,0.017671,0.02206,0.293,0.01241,0
1.9102,400.07,-902.85,2.6361e+06,222.71,24042,0,0,0,0,0,0,-1.9301e-15,-1.0511e-13,-3.2802e-13,-2.8218e-09,-1.2601e-11,-1.0114e-10,0,-297.67,6.9744e+05,1223.8,-0.88447,0.75242,7046.2,9.919e+05,0.86166,687.09,4.6783e-05,0,0,0,0,0.017695,0.02155,0.293,0.011631,0
1.8884,428.97,-896.18,2.607e+06,221.58,24043,0,0,0,0,0,0,-4.0487e-16,9.0324e-13,-1.8259e-12,3.4443e-10,-1.4368e-11,-1.4279e-10,0,-297.67,6.8714e+05,1219.6,-0.90711,0.76705,7046.2,9.9026e+05,0.87637,685.92,4.669e-05,0,0,0,0,0.017404,0.010793,0.293,-0.045679,0
1.883,435.22,-897.26,2.6009e+06,221.68,24071,0,0,0,0,0,0,-1.8381e-15,1.8018e-15,-2.0818e-13,-2.533e-09,-1.3577e-11,-1.2277e-10,0,-297.67,6.8456e+05,1218.6,-0.91278,0.77247,7046.1,9.9146e+05,0.88006,685.62,4.6666e-05,0,0,0,0,0.017342,0.011818,0.293,-0.043629,0
