"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.5446,445.86,158.72,1.8992e+06,345.66,27897,0,0,0,0,0,0,-4.4409e-16,-6.1173e-13,1.6743e-13,-6.7517e-10,-4.0353e-11,-3.1654e-10,0,-297.67,5.3507e+05,1161.1,-1.2412,0.45783,7056.1,6.1206e+05,1.1004,669.27,4.5366e-05,0,0,0,0,0.019174,0.0061265,0.41172,0.018377,0
1.52,426.18,106.43,1.886e+06,435.65,64710,0,0,0,0,0,0,-2.1969e-15,-1.148e-13,7.8602e-13,7.5614e-10,-1.1216e-10,-1.1905e-09,0,-297.67,5.3378e+05,1177.1,-1.2441,0.42892,7074.7,6.0103e+05,1.1024,673.84,4.5731e-05,0,0,0,0,0.01027,0.029783,0.41172,0.066896,0
1.5191,421.97,101.12,1.8861e+06,442.64,67647,0,0,0,0,0,0,-2.5056e-15,-8.243e-14,8.5041e-13,6.9392e-10,-1.2347e-10,-1.3289e-09,0,-297.67,5.3426e+05,1178.9,-1.243,0.4236,7076.5,5.9982e+05,1.1017,674.35,4.5771e-05,0,0,0,0,0.0099427,0.029195,0.41172,0.066199,0
1.5469,443.26,159.93,1.9008e+06,340.64,26026,0,0,0,0,0,0,-3.7167e-16,-5.9084e-13,-9.3859e-14,-5.1188e-11,-2.8807e-11,-1.9082e-10,0,-297.67,5.3575e+05,1160.9,-1.2397,0.45521,7055.4,6.1192e+05,1.0994,669.18,4.536e-05,0,0,0,0,0.020247,0.006906,0.41172,0.020766,0
1.548,441.68,159.97,1.9015e+06,338.36,25371,0,0,0,0,0,0,-2.5771e-16,-3.7337e-13,1.2658e-13,-3.5539e-10,-2.5215e-11,-1.5754e-10,0,-297.67,5.3611e+05,1160.8,-1.239,0.45349,7055.2,6.1172e+05,1.0988,669.18,4.536e-05,0,0,0,0,0.020655,0.0074538,0.41172,0.021898,0
1.5496,439.43,159.74,1.9028e+06,335.34,24590,0,0,0,0,0,0,-5.5666e-17,-5.5268e-13,-1.1436e-13,-1.7175e-10,-2.1247e-11,-1.1223e-10,0,-297.67,5.367e+05,1160.9,-1.2377,0.45088,7054.9,6.1149e+05,1.0979,669.2,4.5361e-05,0,0,0,0,0.021139,0.0084589,0.41172,0.023458,0
1.5488,440.52,159.8,1.9021e+06,336.89,25011,0,0,0,0,0,0,7.0167e-18,-4.8788e-13,-5.0943e-15,-4.5343e-11,-2.3415e-11,-1.3827e-10,0,-297.67,5.364e+05,1160.9,-1.2383,0.45214,7055,6.1158e+05,1.0984,669.19,4.5361e-05,0,0,0,0,0.020876,0.0079134,0.41172,0.02267,0
1.5513,437.28,159.07,1.9042e+06,332.65,24016,0,0,0,0,0,0,-9.7925e-18,-6.6548e-13,-6.3164e-14,-5.4713e-11,-1.7775e-11,-7.8199e-11,0,-297.67,5.3733e+05,1161,-1.2363,0.44821,7054.7,6.1128e+05,1.0969,669.24,4.5364e-05,0,0,0,0,0.021487,0.0094796,0.41172,0.02488,0
1.5512,437.33,159.08,1.9042e+06,332.72,24034,0,0,0,0,0,0,-1.5525e-17,-6.5892e-13,-6.2051e-14,-6.7409e-11,-1.7855e-11,-7.8675e-11,0,-297.67,5.3732e+05,1161,-1.2363,0.44827,7054.7,6.1128e+05,1.0969,669.24,4.5364e-05,0,0,0,0,0.021475,0.009449,0.41172,0.024843,0
1.5515,436.99,158.94,1.9044e+06,332.31,23961,0,0,0,0,0,0,5.1611e-17,-5.9292e-13,-1.7213e-14,1.0405e-10,-1.7538e-11,-7.5498e-11,0,-297.67,5.3741e+05,1161.1,-1.2361,0.44785,7054.7,6.1124e+05,1.0968,669.24,4.5365e-05,0,0,0,0,0.021517,0.0096136,0.41172,0.025048,0
