SENS_AOA=0
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"," x_Sens","y_Sens"
13740, 1.698630709960029e-01, -3.126333274524123e-02, -3.738640062240968e-06, 5.828570765526433e-06, 1.507141195732604e-08, 3.546811940770000e-01, 8.401355640260001e-03, 8.635844742073737e-02, -1.464148671093349e-01
13741, 1.657540700046209e-01, -3.126817414363857e-02, -3.754058663694834e-06, 5.809545337940626e-06, 1.508476592420828e-08, 3.551849525410000e-01, 8.726799029380001e-03, 8.530177142549134e-02, -1.422307431774567e-01
13742, 1.298929552838393e-01, -3.132046469074356e-02, -3.742879922956004e-06, 5.835938788328356e-06, 1.510592065624992e-08, 3.556883640320000e-01, 9.052778405500001e-03, 8.236076845570235e-02, -1.014381646847938e-01
13743, 1.453328256267792e-01, -3.132548635099950e-02, -3.737530589239231e-06, 5.845719949213125e-06, 1.510162406937809e-08, 3.561926417430000e-01, 9.377405845500000e-03, 9.276865926528960e-02, -1.131251237713088e-01
13744, 1.830894589254529e-01, -3.128971590651623e-02, -3.763600992569402e-06, 5.816728603782618e-06, 1.510415673976632e-08, 3.566969703560000e-01, 9.701935260819999e-03, 1.042129665754055e-01, -1.506408333767170e-01
13745, 1.476436600096615e-01, -3.132077676799457e-02, -3.779813162047947e-06, 5.782010155127293e-06, 1.513402544025166e-08, 3.571993996080000e-01, 1.002936661960000e-02, 1.022533597246407e-01, -1.094494798855742e-01
13746, 1.433511676805794e-01, -3.129505227236186e-02, -3.809812008065656e-06, 5.723120190037219e-06, 1.514615611042421e-08, 3.576987534570000e-01, 1.036143304890000e-02, 9.919488093204126e-02, -1.060827211955955e-01
13747, 1.402970655245083e-01, -3.127393087599810e-02, -3.831447878098033e-06, 5.677647949370877e-06, 1.515602938579938e-08, 3.581955622810000e-01, 1.069725219970000e-02, 9.676736441014867e-02, -1.038639940661036e-01
13748, 1.386076623277950e-01, -3.126341549539503e-02, -3.844861669118165e-06, 5.651375708216202e-06, 1.516499603240671e-08, 3.586906046700000e-01, 1.103561812590000e-02, 9.589512057742684e-02, -1.023147198259803e-01
13749, 1.374073957752474e-01, -3.126561056586701e-02, -3.850183441172012e-06, 5.646366987102251e-06, 1.517277006140649e-08, 3.591847809890000e-01, 1.137518694780000e-02, 9.580851973960605e-02, -1.008911721449021e-01
13750, 1.344232908655471e-01, -3.127884602961301e-02, -3.850142003506726e-06, 5.656589081911803e-06, 1.517876749280383e-08, 3.596790530120000e-01, 1.171454633840000e-02, 9.564846753789333e-02, -9.740873256846845e-02
13751, 1.377255484108852e-01, -3.129339501371556e-02, -3.847411473287427e-06, 5.658013833107193e-06, 1.517632692371382e-08, 3.601738152760000e-01, 1.205311186780000e-02, 9.947459854333029e-02, -9.880446201270855e-02
13752, 1.481257145923049e-01, -3.129689354636943e-02, -3.853209730704986e-06, 5.645633604305551e-06, 1.518408156286985e-08, 3.606683250080000e-01, 1.239195858340000e-02, 1.067788519652061e-01, -1.063429138296330e-01
